Time(day),a(km),e,i(deg),n(deg),w(deg),f(deg),hp(km)
92.33397868,24936.010283,0.7157263, 27.8914, 99.9687,185.4064,177.0061,710.515947
93.69100448,24935.975877,0.7156085, 27.8868, 99.5360,186.1106,176.3280,713.445503
94.59598643,24935.852628,0.7155460, 27.8842, 99.2480,186.5780,175.9290,714.968676
95.50098406,24935.819992,0.7155079, 27.8828, 98.9599,187.0423,175.5299,715.909728
97.76304150,24935.984757,0.7155516, 27.8888, 98.2399,188.2020,174.4601,714.865371
98.66736427,24936.158410,0.7156124, 27.8938, 97.9523,188.6695,173.9369,713.399396
99.57210966,24936.200155,0.7156768, 27.9007, 97.6672,189.1387,173.4998,711.803982
101.38175372,24936.342696,0.7157589, 27.9146, 97.1001,190.0788,172.6299,709.798811
102.73908055,24936.238722,0.7157593, 27.9222, 96.6737,190.7867,171.9850,709.759936
104.54884227,24936.122602,0.7156874, 27.9248, 96.1025,191.7336,171.1174,711.518137
106.35882167,24936.130459,0.7155659, 27.9233, 95.5306,192.6730,170.2788,714.550521
107.71622502,24936.039338,0.7154853, 27.9217, 95.0988,193.3737,169.6293,716.534870
108.62132221,24936.098121,0.7154534, 27.9201, 94.8095,193.8408,169.2349,717.348067
109.52625378,24936.118316,0.7154431, 27.9199, 94.5220,194.3066,168.7943,717.609755
111.33645785,24936.289591,0.7154825, 27.9243, 93.9502,195.2330,167.9907,716.675464
113.59922009,24936.493130,0.7156289, 27.9368, 93.2377,196.3949,166.9619,713.083524
114.50435616,24936.574807,0.7156964, 27.9426, 92.9549,196.8630,166.5386,711.422892
116.31475319,24936.677234,0.7157854, 27.9538, 92.3913,197.8009,165.7435,709.232106
117.21946834,24936.653901,0.7157979, 27.9583, 92.1086,198.2722,165.2168,708.915606
118.57735526,24936.564857,0.7157745, 27.9610, 91.6800,198.9813,164.6029,709.471440
119.48311662,24936.486544,0.7157344, 27.9609, 91.3941,199.4548,164.3082,710.450564
119.93558030,24936.489600,0.7157082, 27.9605, 91.2509,199.6896,164.0559,711.105605
122.65158023,24936.466038,0.7155649, 27.9588, 90.3881,201.0933,162.8496,714.671143
123.55714492,24936.566203,0.7155632, 27.9594, 90.0991,201.5583,162.4997,714.741397
124.46253739,24936.659592,0.7155958, 27.9621, 89.8130,202.0222,162.1024,713.955774
126.27340285,24936.882959,0.7157354, 27.9739, 89.2483,202.9465,161.3218,710.537537
128.53737461,24936.850736,0.7159419, 27.9925, 88.5459,204.1123,160.4083,705.379882
129.44284791,24936.793375,0.7159963, 27.9978, 88.2649,204.5839,160.0095,704.007785
130.34840073,24936.739134,0.7160208, 28.0020, 87.9836,205.0559,159.6328,703.380128
